C,phi,S Propesed,Stress,qc,fs,u2,Fr,Effective Stress,Qt,Ic,Depth,S_Prop_num,stress_num,phi_true_num,C_true_num,synthetic_flag,phi_pred,C_pred
0.56,29.0,0.04077422782,0.04630581986,6.165,15.384,20.653,0.2512142089,0.02565281986,238.7206343,1.255849971,2.75,0.04077422782,0.04630581986,29.0,0.56,False,28.658464,0.5600525
6.33,28.0,0.0854539925,0.09519573579,2.448,15.846,22.538,0.6718851573,0.07265773579,32.45956867,2.221072975,5.75,0.0854539925,0.09519573579,28.0,6.33,False,28.096428,6.333137
5.93,26.0,0.07899629654,0.1281119564,3.923,12.142,113.333,0.3175855926,0.01477895643,258.69359,1.28015044,7.8,0.07899629654,0.1281119564,26.0,5.93,False,29.162783,5.93158
5.93,26.0,0.0660591525,0.1289611577,5.876190476,11.80952381,67.61904762,0.2048794085,0.06134211005,93.96700042,1.588575846,7.8,0.0660591525,0.1289611577,26.0,5.93,False,26.47551,5.9314218
5.92,28.0,0.0842929058,0.2491586342,6.605,13.8125,168.375,0.2158899668,0.08078363422,79.19840668,1.666164947,14.85,0.0842929058,0.2491586342,28.0,5.92,False,24.535328,5.920399
7.11,31.0,0.2113653284,0.2854159103,0.981,23.25,517.375,2.818428338,-0.2319590897,-3.556350565,,16.8,0.2113653284,0.2854159103,31.0,7.11,False,31.438425,7.1109953
7.11,31.0,0.1781506962,0.3059611687,1.537619048,64.71428571,414.9047619,4.846117847,-0.1089435932,-12.25757321,,16.8,0.1781506962,0.3059611687,31.0,7.11,False,28.891153,7.1100683
20.81,26.0,0.200604274,0.3020491187,1.166,51.5,361.937,5.395861731,-0.05988788132,-15.93703284,,16.85,0.200604274,0.3020491187,26.0,20.81,False,28.821167,20.809494
20.81,26.0,0.2350242243,0.2865867119,0.778125,23.3125,553.5625,3.700814412,-0.2669757881,-2.359498281,,16.85,0.2350242243,0.2865867119,26.0,20.81,False,29.323057,20.81039
0.0,27.0,0.07030045132,0.08263548758,3.279047619,25.85714286,60.9047619,0.8051075577,0.02173072568,147.7925022,1.720014793,4.8,0.07030045132,0.08263548758,27.0,0.0,False,27.88144,0.0004848953
4.0,26.0,0.09526443419,0.163934685,3.311153846,17.69230769,141.2692308,0.5559184589,0.02266545427,140.4135311,1.637221265,9.75,0.09526443419,0.163934685,26.0,4.0,False,28.279213,3.999632
4.0,26.0,0.09398160607,0.1655548331,3.446153846,20.23076923,77.73076923,0.6130477231,0.08782406389,37.57548398,2.146259856,9.75,0.09398160607,0.1655548331,26.0,4.0,False,27.790655,3.9996004
